pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,win_team
80,69,116,20,36,8,1,107,17,9,1
70,60,61,82,63,42,69,107,17,25,1
8,79,36,82,45,103,69,107,26,63,1
39,74,92,17,97,91,64,116,26,63,1
19,1,107,82,75,115,39,111,65,97,0
8,1,107,17,68,42,79,59,65,38,0
39,35,107,17,63,19,79,76,56,25,0
70,39,92,20,68,8,69,107,65,63,0
42,35,116,65,38,70,39,92,86,68,0
8,39,107,50,33,70,64,92,26,75,0
42,30,61,20,54,102,59,107,26,25,1
8,35,60,89,68,42,69,92,65,38,1
115,39,92,86,63,42,79,107,50,88,0
39,74,92,17,68,8,53,107,20,9,0
42,74,92,82,68,19,52,107,17,45,0
115,1,116,26,38,8,39,92,110,75,1
70,39,92,17,38,8,1,116,82,75,0
8,53,93,82,75,103,59,62,110,68,0
115,25,92,65,68,70,52,116,86,63,0
70,39,107,26,54,42,52,92,17,68,1
70,39,92,50,68,115,16,61,65,9,0
19,59,111,26,75,70,39,36,65,81,0
70,79,60,82,42,31,39,92,56,36,1
115,79,116,50,25,70,39,78,26,45,0
102,79,107,17,97,103,39,92,82,25,1
45,15,92,20,38,59,39,107,17,75,1
19,64,116,86,45,42,15,107,65,68,1
42,74,78,50,63,19,39,116,65,61,0
42,79,76,26,45,70,39,116,65,31,0
19,107,61,65,63,115,46,76,17,9,0
70,15,107,65,75,115,74,116,50,45,1
39,52,92,17,68,42,69,78,26,75,0
59,39,92,20,36,70,79,107,82,75,0
70,79,107,17,63,102,74,92,26,68,1
54,64,36,26,68,42,25,107,82,42,0
59,1,107,65,36,8,69,116,82,45,0
70,39,60,17,38,8,53,107,82,9,1
8,39,92,110,25,115,35,107,17,42,0
115,45,78,26,63,8,39,116,20,88,1
70,59,107,17,63,70,64,116,26,97,1
42,39,92,20,38,45,3,107,65,9,1
8,69,107,17,45,39,52,92,50,25,1
19,79,36,65,61,70,39,107,82,29,1
115,69,107,20,63,8,59,62,17,68,0
42,39,61,17,25,70,45,107,20,29,0
19,15,116,17,29,42,39,111,76,54,1
70,39,116,65,33,8,1,107,26,75,0
42,64,92,65,63,80,39,107,86,68,0
39,52,36,26,45,70,69,92,82,75,0
115,39,62,65,75,19,79,36,118,61,0
19,52,107,17,38,102,39,116,27,29,0
39,52,92,17,45,102,1,92,17,45,1
42,72,78,26,75,91,39,116,65,29,1
42,1,92,26,81,8,39,116,17,38,1
79,44,78,50,63,42,39,76,17,45,0
70,25,92,26,61,32,35,116,50,97,1
94,79,116,52,97,115,35,61,17,54,1
59,52,92,26,68,70,46,107,20,36,1
59,69,92,26,97,8,3,107,20,63,0
42,64,36,56,38,70,1,92,26,25,0
115,1,107,82,25,8,39,116,65,81,0
19,2,61,65,81,70,44,107,76,38,1
70,79,76,17,42,91,39,107,26,25,0
42,25,92,65,75,39,49,107,26,45,1
19,44,116,20,45,115,79,78,17,25,1
8,69,61,17,75,19,39,62,82,63,0
105,39,92,110,97,42,74,36,76,68,1
45,79,92,50,97,42,35,61,65,68,1
59,1,111,20,81,115,63,116,26,6,1
42,39,107,65,29,8,35,92,82,95,0
70,52,36,65,97,59,39,107,20,68,1
70,1,92,65,63,39,0,116,26,97,0
19,72,62,65,33,42,44,78,50,75,0
8,79,107,17,45,59,16,116,26,75,0
102,39,92,110,38,42,59,36,56,75,1
115,25,107,65,61,45,39,92,50,97,0
8,59,99,17,25,19,15,107,20,75,0
59,79,92,26,81,45,64,116,65,68,0
115,74,116,50,25,70,39,107,17,63,1
8,79,36,26,63,102,74,61,17,45,0
59,15,36,17,75,32,74,107,76,54,1
42,39,107,20,33,8,79,61,65,75,0
70,39,92,82,33,42,69,45,107,61,0
42,39,92,17,75,105,44,107,76,63,0
19,107,36,17,33,70,16,111,26,25,0
19,63,36,20,33,8,39,107,26,75,1
103,64,116,26,75,70,39,107,17,45,0
42,64,50,73,75,115,74,34,65,25,1
103,45,107,17,63,8,79,92,26,68,1
42,79,116,17,54,19,69,92,50,45,0
42,69,92,17,80,32,74,107,86,45,1
42,35,92,65,63,115,39,107,56,68,0
105,35,62,50,9,42,79,61,65,63,1
70,39,107,17,38,42,16,116,20,63,1
8,64,107,20,97,70,79,92,65,63,1
45,15,78,65,75,42,74,36,17,25,0
84,91,107,26,68,8,39,116,20,63,0
70,39,107,82,68,115,64,92,20,97,1
8,1,107,65,45,115,59,116,17,25,0
70,52,78,65,45,115,74,116,17,68,1
59,1,36,65,97,19,39,92,82,116,1
42,19,92,17,38,91,69,61,82,68,1
42,1,36,65,63,39,0,107,86,97,0
42,53,107,65,68,70,69,61,17,38,1
115,74,116,26,29,8,79,92,65,45,1
42,74,61,17,63,19,79,116,20,95,0
45,35,116,76,68,42,39,107,26,75,1
39,35,36,50,68,45,79,107,86,38,0
115,1,116,26,6,8,39,92,20,29,1
42,69,92,82,63,39,74,116,20,9,0
